Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2015-04-29 21:32:46;2015-04-30 05:12:31;69%;7:39;;;0;5513
2015-04-30 21:29:41;2015-05-01 05:14:54;77%;7:45;;;0;7364
2015-05-01 22:07:52;2015-05-02 06:43:21;87%;8:35;;;0;9395
2015-05-03 22:43:31;2015-05-04 06:57:10;76%;8:13;;;0;13190
2015-05-04 21:30:11;2015-05-05 05:00:40;71%;7:30;;;0;14106
2015-05-05 21:48:55;2015-05-06 05:09:16;78%;7:20;;;0;11392
2015-05-06 21:40:52;2015-05-07 05:08:56;79%;7:28;;;0;6996
2015-05-07 21:48:07;2015-05-08 06:09:01;64%;8:20;;;0;18252
2015-05-08 22:09:58;2015-05-09 06:13:31;77%;8:03;;;0;2832
2015-05-09 21:50:15;2015-05-10 06:00:37;73%;8:10;;;0;3198
2015-05-10 22:17:39;2015-05-11 06:34:48;79%;8:17;;;0;5367
2015-05-11 21:35:57;2015-05-12 05:08:16;71%;7:32;;;0;13197
2015-05-12 21:34:20;2015-05-13 05:12:48;81%;7:38;;;0;12302
2015-05-13 21:22:45;2015-05-14 04:43:21;73%;7:20;;;0;9762
2015-05-14 21:37:57;2015-05-15 05:13:46;68%;7:35;;;0;14752
2015-05-15 21:25:36;2015-05-16 06:26:49;63%;9:01;;;0;14660
2015-05-17 22:03:40;2015-05-18 06:41:36;83%;8:37;;;0;9557
2015-05-18 21:34:58;2015-05-19 04:47:42;67%;7:12;;;0;19075
2015-05-19 21:23:13;2015-05-20 05:09:29;80%;7:46;;;0;12725
2015-05-20 21:35:30;2015-05-21 04:42:49;67%;7:07;;;0;8745
2015-05-21 21:40:50;2015-05-22 05:06:12;74%;7:25;;;0;16806
2015-05-22 22:57:51;2015-05-23 06:25:36;76%;7:27;;;0;10459
2015-05-24 22:23:46;2015-05-25 07:22:59;83%;8:59;;;0;10069
2015-05-25 21:29:23;2015-05-26 04:43:18;68%;7:13;;;0;15013
2015-05-26 21:12:02;2015-05-27 05:13:05;75%;8:01;;;0;7842
2015-05-27 21:37:52;2015-05-28 04:38:28;71%;7:00;;;0;7589
2015-05-28 21:27:38;2015-05-29 06:07:16;84%;8:39;;;0;14770
2015-05-31 21:22:19;2015-06-01 06:03:43;84%;8:41;;;0;12821
2015-06-01 21:29:51;2015-06-02 04:47:38;77%;7:17;;;0;13903
2015-06-02 21:06:24;2015-06-03 05:10:04;85%;8:03;;;0;6581
2015-06-03 21:32:13;2015-06-04 04:47:45;75%;7:15;;;0;9516
2015-06-04 21:21:04;2015-06-05 05:08:35;67%;7:47;;;0;14248
2015-06-05 21:57:39;2015-06-06 06:49:37;84%;8:51;;;0;7542
2015-06-07 21:56:54;2015-06-08 06:52:53;93%;8:55;;;0;14316
2015-06-08 21:30:33;2015-06-09 04:44:12;64%;7:13;;;0;14929
2015-06-09 21:30:18;2015-06-10 05:08:05;74%;7:37;;;0;8771
2015-06-10 21:06:56;2015-06-11 05:08:44;44%;8:01;;;0;9805
2015-06-11 21:26:15;2015-06-12 05:12:35;68%;7:46;;;0;15044
2015-06-12 22:35:56;2015-06-13 06:14:05;75%;7:38;;;0;11631
2015-06-13 22:45:45;2015-06-14 06:14:45;74%;7:28;;;0;8667
2015-06-14 22:14:33;2015-06-15 06:45:09;79%;8:30;;;0;8682
2015-06-15 22:48:08;2015-06-16 06:09:56;69%;7:21;;;0;19162
2015-06-16 21:39:46;2015-06-17 04:48:44;64%;7:08;;;0;10104
2015-06-17 21:27:07;2015-06-18 05:13:10;77%;7:46;;;0;10763
2015-06-18 21:38:55;2015-06-19 05:09:42;61%;7:30;;;0;15077
2015-06-19 22:14:15;2015-06-20 06:57:39;88%;8:43;;;0;12858
2015-06-21 22:19:10;2015-06-22 07:23:01;89%;9:03;;;0;11591
2015-06-22 22:20:10;2015-06-23 05:35:38;70%;7:15;;;0;15424
2015-06-23 21:37:54;2015-06-24 05:13:59;79%;7:36;;;0;11862
2015-06-25 21:11:13;2015-06-26 05:09:11;62%;7:57;;;0;18370
2015-06-26 22:59:39;2015-06-27 06:47:33;78%;7:47;;;0;11761
2015-06-28 22:01:10;2015-06-29 07:09:28;82%;9:08;;;0;9378
2015-06-29 21:43:51;2015-06-30 05:13:44;68%;7:29;;;0;14698
2015-06-30 21:15:29;2015-07-01 05:12:37;84%;7:57;;;0;11373
2015-07-01 21:42:57;2015-07-02 05:13:40;78%;7:30;;;0;13256
2015-07-02 21:40:33;2015-07-03 06:01:56;85%;8:21;;;0;19265
2015-07-03 21:52:35;2015-07-04 06:34:39;77%;8:42;;;0;11264
2015-07-04 23:06:10;2015-07-05 07:06:30;78%;8:00;;;0;20114
2015-07-05 21:47:55;2015-07-06 07:10:03;86%;9:22;;;0;7394
2015-07-06 22:19:31;2015-07-07 05:08:49;62%;6:49;;;0;11871
2015-07-07 21:07:06;2015-07-08 05:09:15;76%;8:02;;;0;9739
2015-07-08 21:37:38;2015-07-09 05:11:33;73%;7:33;;;0;13348
2015-07-09 21:27:17;2015-07-10 05:09:12;78%;7:41;;;0;18753
